100.0       0.0003	210.0
 70.0       0.067 	219.0
 50.0       0.95	270.0
 45.0       1.76	265.0
 40.0       3.33	254.0
 35.0       6.52	243.0
 30.0       13.20 	232.0
 25.0       27.70	221.0
 24.0       32.20	219.0
 23.0       37.60       217.0
 22.0       43.70	215.0
 21.0       51.00	211.0
 20.0       59.50	207.0
 19.0       69.50	203.0
 18.0       81.20	199.0
 17.0       95.00	195.0
 16.0      111.00	197.0
 15.0      130.00	204.0
 14.0      153.00	210.0
 13.0      179.00	217.0
 12.0      209.00	224.0
 11.0      243.00	230.0
 10.0      281.00  	237.0
  9.0      324.00	244.0
  8.0      372.00	250.0
  7.0      426.00	257.0
  6.0      487.00	264.0
  5.0      554.00	270.0
  4.0      628.00	277.0
  3.0      710.00	284.0
  2.0      802.00	288.0
  1.0      902.00	294.0
  0.0     1013.00	300.0
