      Wavelegth (um)      Normalized RSF
           11.300000            0.032700
           11.400000            0.524000
           11.500000            0.973300
           11.600000            0.981300
           11.700000            1.000000
           11.800000            0.954100
           11.900000            0.935900
           12.000000            0.894100
           12.100000            0.809400
           12.200000            0.735300
           12.300000            0.630200
           12.400000            0.284200
           12.500000            0.020000
