      Wavelegth (nm)      Normalized RSF
          620.000000            0.004800
          640.000000            0.005300
          660.000000            0.005700
          680.000000            0.003100
          700.000000            0.003400
          710.000000            0.085500
          720.000000            0.368000
          730.000000            0.699000
          740.000000            0.875000
          750.000000            0.942000
          760.000000            0.978000
          770.000000            1.000000
          780.000000            0.973300
          790.000000            0.944500
          800.000000            0.898000
          810.000000            0.880000
          820.000000            0.875000
          830.000000            0.838000
          840.000000            0.852000
          850.000000            0.847000
          860.000000            0.823000
          870.000000            0.790000
          880.000000            0.823000
          890.000000            0.807000
          900.000000            0.775000
          910.000000            0.760000
          920.000000            0.690000
          930.000000            0.672000
          940.000000            0.668000
          950.000000            0.658000
          960.000000            0.608000
          970.000000            0.573000
          980.000000            0.522000
          990.000000            0.383000
         1000.000000            0.225000
         1010.000000            0.131000
         1020.000000            0.069000
         1030.000000            0.038000
         1040.000000            0.021000
         1050.000000            0.012600
         1060.000000            0.007900
         1070.000000            0.005400
         1080.000000            0.004100
         1090.000000            0.003600
         1100.000000            0.003200
         1110.000000            0.002900
         1120.000000            0.002600
         1130.000000            0.002400
         1140.000000            0.002100
         1150.000000            0.001700
         1160.000000            0.001500
         1170.000000            0.001400
         1180.000000            0.001500
