      Wavelegth (um)      Normalized RSF
           10.000000            0.001000
           10.100000            0.005000
           10.200000            0.038000
           10.300000            0.271000
           10.400000            0.874000
           10.500000            1.000000
           10.600000            0.998000
           10.700000            0.974000
           10.800000            0.945000
           10.900000            0.921000
           11.000000            0.894000
           11.100000            0.822000
           11.200000            0.706000
           11.300000            0.469000
           11.400000            0.115000
           11.500000            0.033000
           11.600000            0.004000
           11.700000            0.001000
