      Wavelegth (um)      Normalized RSF
            3.350000            0.013000
            3.375000            0.013000
            3.400000            0.013000
            3.425000            0.013000
            3.450000            0.012000
            3.475000            0.015000
            3.500000            0.018000
            3.525000            0.035000
            3.550000            0.089000
            3.575000            0.325000
            3.600000            0.802000
            3.625000            0.932000
            3.650000            1.000000
            3.675000            0.944000
            3.700000            0.959000
            3.725000            0.941000
            3.750000            0.919000
            3.775000            0.923000
            3.800000            0.949000
            3.825000            0.943000
            3.850000            0.928000
            3.875000            0.922000
            3.900000            0.896000
            3.925000            0.881000
            3.950000            0.843000
            3.975000            0.653000
            4.000000            0.283000
            4.025000            0.091000
            4.050000            0.030000
            4.075000            0.013000
            4.100000            0.012000
