      Wavelegth (nm)      Normalized RSF
        10200.000000            0.001000
        10300.000000            0.008000
        10400.000000            0.065000
        10500.000000            0.335000
        10600.000000            0.803000
        10700.000000            1.000000
        10800.000000            0.940000
        10900.000000            0.885000
        11000.000000            0.837000
        11100.000000            0.865000
        11200.000000            0.773000
        11300.000000            0.703000
        11400.000000            0.651000
        11500.000000            0.390000
        11600.000000            0.089000
        11700.000000            0.014000
        11800.000000            0.001000
