      Wavelegth (nm)      Normalized RSF
         3350.000000            0.000700
         3375.000000            0.000700
         3400.000000            0.000000
         3425.000000            0.000000
         3450.000000            0.000000
         3475.000000            0.002000
         3500.000000            0.016000
         3525.000000            0.156000
         3550.000000            0.447000
         3575.000000            0.795000
         3600.000000            0.861000
         3625.000000            0.926000
         3650.000000            0.956000
         3675.000000            0.976200
         3700.000000            1.000000
         3725.000000            0.996000
         3750.000000            0.982000
         3775.000000            0.973000
         3800.000000            0.942500
         3825.000000            0.953000
         3850.000000            0.962000
         3875.000000            0.923000
         3900.000000            0.878000
         3925.000000            0.771000
         3950.000000            0.482500
         3975.000000            0.193000
         4000.000000            0.056000
         4025.000000            0.017000
         4050.000000            0.005400
         4075.000000            0.002800
         4100.000000            0.000900
         4125.000000            0.000000
