      Wavelegth (um)      Normalized RSF
           11.000000            0.002000
           11.100000            0.002000
           11.150000            0.002000
           11.200000            0.002000
           11.250000            0.002000
           11.300000            0.004000
           11.350000            0.012000
           11.400000            0.051000
           11.450000            0.211000
           11.500000            0.644000
           11.550000            0.780000
           11.600000            0.826000
           11.650000            0.891000
           11.700000            0.846000
           11.800000            0.883000
           11.900000            0.933000
           12.000000            0.975000
           12.100000            0.974000
           12.200000            1.000000
           12.300000            0.966000
           12.350000            0.949000
           12.400000            0.897000
           12.450000            0.816000
           12.500000            0.499000
           12.550000            0.164000
           12.600000            0.047000
           12.650000            0.015000
           12.700000            0.007000
