      Wavelegth (nm)      Normalized RSF
          560.000000            0.027000
          570.000000            0.436000
          580.000000            0.709000
          590.000000            0.811000
          600.000000            0.838000
          610.000000            0.899000
          620.000000            0.932000
          630.000000            0.951000
          640.000000            0.962000
          650.000000            0.959000
          660.000000            0.973000
          670.000000            0.964000
          680.000000            1.000000
          690.000000            0.918000
          700.000000            0.512000
          710.000000            0.214000
          720.000000            0.085000
          730.000000            0.036000
          740.000000            0.016000
          750.000000            0.008000
          760.000000            0.008000
          850.000000            0.011000
          860.000000            0.011000
          870.000000            0.016000
          880.000000            0.019000
          890.000000            0.022000
          900.000000            0.022000
          910.000000            0.016000
          920.000000            0.014000
          940.000000            0.005000
          960.000000            0.005000
          980.000000            0.000000
