Wavenumber (cm^-1)    Wavelength (um)        Normalized SRF
9875    1.0126582278481        0.0088416
9880    1.01214574898785    0.0097711
9885    1.01163378856854    0.010798
9890    1.01112234580384    0.0119302
9895    1.01061141990905    0.0131758
9900    1.01010101010101    0.0145433
9905    1.00959111559818    0.0160416
9910    1.00908173562059    0.0176805
9915    1.00857286938981    0.0194702
9920    1.00806451612903    0.0214216
9925    1.00755667506297    0.0235452
9930    1.00704934541793    0.0258452
9935    1.00654252642174    0.028324
9940    1.00603621730382    0.0309848
9945    1.00553041729512    0.0338317
9950    1.00502512562814    0.0368695
9955    1.00452034153692    0.0401038
9960    1.00401606425703    0.0435415
9965    1.00351229302559    0.0471879
9970    1.00300902708124    0.0510417
9975    1.00250626566416    0.0550997
9980    1.00200400801603    0.05936
9985    1.00150225338007    0.0638214
9990    1.001001001001    0.0684837
9995    1.00050025012506    0.0733475
10000    1.0000000        0.0784145
10005    0.999500249875062    0.0836847
10010    0.999000999000999    0.0891492
10015    0.998502246630055    0.0947976
10020    0.998003992015968    0.1006202
10025    0.997506234413965    0.1066082
10030    0.997008973080758    0.1127535
10035    0.996512207274539    0.1190487
10040    0.99601593625498    0.125487
10045    0.995520159283225    0.1320656
10050    0.99502487562189    0.1387957
10055    0.994530084535057    0.1456931
10060    0.99403578528827    0.1527742
10065    0.993541977148534    0.1600565
10070    0.99304865938431    0.1675581
10075    0.992555831265509    0.1752983
10080    0.992063492063492    0.1832974
10085    0.991571641051066    0.191575
10090    0.991080277502478    0.2001416
10095    0.990589400693413    0.2090049
10100    0.99009900990099    0.2181741
10105    0.98960910440376    0.2276599
10110    0.989119683481701    0.2374739
10115    0.988630746416214    0.2476299
10120    0.988142292490119    0.2581425
10125    0.987654320987654    0.2690265
10130    0.987166831194472    0.2802769
10135    0.986679822397632    0.2918786
10140    0.986193293885602    0.3038178
10145    0.98570724494825    0.3160822
10150    0.985221674876847    0.328661
10155    0.984736582964057    0.3415448
10160    0.984251968503937    0.3547257
10165    0.983767830791933    0.3681959
10170    0.983284169124877    0.3819251
10175    0.982800982800983    0.3958589
10180    0.982318271119843    0.4099423
10185    0.981836033382425    0.4241213
10190    0.98135426889107    0.4383421
10195    0.980872976949485    0.452551
10200    0.980392156862745    0.4666948
10205    0.979911807937286    0.4807194
10210    0.979431929480901    0.4945677
10215    0.978952520802741    0.5081757
10220    0.978473581213307    0.5214771
10225    0.97799511002445    0.5344045
10230    0.977517106549365    0.5468889
10235    0.977039570102589    0.558859
10240    0.9765625        0.5702413
10245    0.976085895558809    0.5809599
10250    0.975609756097561    0.5909477
10255    0.975134080936129    0.6002188
10260    0.974658869395711    0.6088195
10265    0.974184120798831    0.6167938
10270    0.973709834469328    0.6241819
10275    0.97323600973236    0.6310225
10280    0.972762645914397    0.6373509
10285    0.972289742343218    0.6432006
10290    0.971817298347911    0.6486031
10295    0.971345313258863    0.6535937
10300    0.970873786407767    0.6582131
10305    0.970402717127608    0.662502
10310    0.969932104752667    0.6664986
10315    0.969461948618517    0.6702404
10320    0.968992248062015    0.6737634
10325    0.968523002421308    0.6771029
10330    0.968054211035818    0.680293
10335    0.967585873246251    0.6833643
10340    0.967117988394584    0.6863269
10345    0.96665055582407    0.6891841
10350    0.966183574879227    0.6919387
10355    0.965717044905843    0.6945928
10360    0.965250965250965    0.6971481
10365    0.964785335262904    0.6996061
10370    0.964320154291225    0.7019674
10375    0.963855421686747    0.7042327
10380    0.963391136801541    0.7064021
10385    0.962927298988926    0.7084765
10390    0.962463907603465    0.710456
10395    0.962000962000962    0.7123404
10400    0.961538461538462    0.714129
10405    0.961076405574243    0.7158207
10410    0.960614793467819    0.717414
10415    0.960153624579933    0.718907
10420    0.959692898272553    0.7202979
10425    0.959232613908873    0.7215921
10430    0.958772770853308    0.722799
10435    0.95831336847149    0.723928
10440    0.957854406130268    0.7249881
10445    0.957395883197702    0.725988
10450    0.956937799043062    0.7269359
10455    0.956480153036824    0.7278402
10460    0.956022944550669    0.7287087
10465    0.955566172957477    0.7295499
10470    0.955109837631328    0.7303747
10475    0.954653937947494    0.731195
10480    0.954198473282443    0.7320223
10485    0.953743443013829    0.7328686
10490    0.953288846520496    0.7337457
10495    0.952834683182468    0.7346654
10500    0.952380952380952    0.73564
10505    0.951927653498334    0.7366819
10510    0.951474785918173    0.7377988
10515    0.951022349025202    0.7389854
10520    0.950570342205323    0.7402355
10525    0.950118764845606    0.7415427
10530    0.949667616334283    0.7429007
10535    0.94921689606075    0.744304
10540    0.94876660341556    0.7457469
10545    0.948316737790422    0.7472237
10550    0.947867298578199    0.7487296
10555    0.947418285172904    0.7502695
10560    0.946969696969697    0.7518656
10565    0.946521533364884    0.7535424
10570    0.946073793755913    0.7553245
10575    0.945626477541371    0.757237
10580    0.945179584120983    0.7593059
10585    0.944733112895607    0.7615573
10590    0.944287063267233    0.7640187
10595    0.943841434638981    0.7667176
10600    0.943396226415094    0.7696524
10605    0.942951438000943    0.7727785
10610    0.942507068803016    0.7760487
10615    0.942063118228921    0.7794163
10620    0.941619585687382    0.7828351
10625    0.941176470588235    0.7862591
10630    0.940733772342427    0.7896424
10635    0.940291490362012    0.7929387
10640    0.93984962406015    0.7961022
10645    0.939408172851104    0.7991148
10650    0.938967136150235    0.8020012
10655    0.938526513374003    0.8047891
10660    0.938086303939962    0.8075062
10665    0.937646507266761    0.8101792
10670    0.937207122774133    0.812835
10675    0.936768149882904    0.8155004
10680    0.936329588014981    0.8182024
10685    0.935891436593355    0.8209677
10690    0.935453695042095    0.8238131
10695    0.935016362786349    0.8267354
10700    0.934579439252336    0.8297295
10705    0.934142923867352    0.8327904
10710    0.933706816059757    0.8359135
10715    0.933271115258983    0.8390947
10720    0.932835820895522    0.8423297
10725    0.932400932400932    0.8456147
10730    0.931966449207829    0.8489465
10735    0.931532370749884    0.8523189
10740    0.931098696461825    0.8557183
10745    0.930665425779432    0.8591298
10750    0.930232558139535    0.862538
10755    0.929800092980009    0.8659282
10760    0.929368029739777    0.8692853
10765    0.928936367858802    0.8725938
10770    0.928505106778087    0.8758383
10775    0.928074245939675    0.8790027
10780    0.927643784786642    0.8820726
10785    0.927213722763097    0.8850402
10790    0.92678405931418    0.8879009
10795    0.926354793886058    0.8906494
10800    0.925925925925926    0.8932801
10805    0.925497454881999    0.8957867
10810    0.925069380203515    0.8981625
10815    0.92464170134073    0.9004005
10820    0.924214417744917    0.9024925
10825    0.92378752886836    0.9044298
10830    0.923361034164358    0.9062085
10835    0.922934933087217    0.9078287
10840    0.922509225092251    0.9092899
10845    0.922083909635777    0.9105908
10850    0.921658986175115    0.9117295
10855    0.921234454168586    0.9127036
10860    0.920810313075506    0.9135095
10865    0.92038656235619    0.9141431
10870    0.919963201471941    0.9145998
10875    0.919540229885057    0.9148787
10880    0.919117647058823    0.9149933
10885    0.91869545245751    0.9149601
10890    0.918273645546373    0.9147943
10895    0.917852225791648    0.9145107
10900    0.91743119266055    0.9141234
10905    0.917010545621275    0.9136466
10910    0.916590284142988    0.9130933
10915    0.916170407695831    0.9124766
10920    0.915750915750916    0.911809
10925    0.91533180778032    0.9110951
10930    0.91491308325709    0.910334
10935    0.914494741655235    0.9095239
10940    0.914076782449726    0.9086633
10945    0.913659205116491    0.9077502
10950    0.91324200913242    0.9067826
10955    0.912825193975354    0.905758
10960    0.912408759124088    0.9046738
10965    0.911992704058367    0.903527
10970    0.911577028258888    0.9023186
10975    0.911161731207289    0.9010651
10980    0.910746812386157    0.8997862
10985    0.910332271279017    0.8985019
10990    0.909918107370337    0.8972322
10995    0.909504320145521    0.8959966
11000    0.909090909090909    0.8948155
11005    0.908677873693775    0.8937091
11010    0.908265213442325    0.8926978
11015    0.907852927825692    0.8918027
11020    0.907441016333938    0.8910336
11025    0.90702947845805    0.8903849
11030    0.906618313689937    0.88985
11035    0.906207521522429    0.8894227
11040    0.905797101449275    0.8890976
11045    0.905387052965143    0.8888694
11050    0.904977375565611    0.8887336
11055    0.904568068747173    0.8886859
11060    0.904159132007233    0.8887222
11065    0.903750564844103    0.8888395
11070    0.903342366757001    0.889039
11075    0.90293453724605    0.8893247
11080    0.902527075812274    0.8897015
11085    0.9021199819576        0.8901743
11090    0.901713255184851    0.890749
11095    0.901306894997747    0.8914317
11100    0.900900900900901    0.8922288
11105    0.90049527239982    0.8931474
11110    0.9000900090009        0.894195
11115    0.899685110211426    0.8953781
11120    0.899280575539568    0.8966876
11125    0.898876404494382    0.8981082
11130    0.898472596585804    0.8996246
11135    0.898069151324652    0.9012223
11140    0.897666068222621    0.9028871
11145    0.897263346792284    0.9046047
11150    0.896860986547085    0.9063612
11155    0.896458987001345    0.9081435
11160    0.896057347670251    0.9099376
11165    0.895656068069861    0.911732
11170    0.895255147717099    0.9135237
11175    0.894854586129754    0.9153136
11180    0.894454382826476    0.9171028
11185    0.894054537326777    0.9188918
11190    0.893655049151028    0.9206816
11195    0.893255917820455    0.9224732
11200    0.892857142857143    0.9242671
11205    0.892458723784025    0.9260646
11210    0.892060660124889    0.9278661
11215    0.891662951404369    0.9296713
11220    0.89126559714795    0.9314706
11225    0.89086859688196    0.9332501
11230    0.890471950133571    0.9349964
11235    0.890075656430797    0.9366958
11240    0.889679715302491    0.9383345
11245    0.889284126278346    0.9398981
11250    0.888888888888889    0.941372
11255    0.888494002665482    0.9427415
11260    0.88809946714032    0.9439911
11265    0.887705281846427    0.945107
11270    0.887311446317657    0.9460934
11275    0.886917960088692    0.9469643
11280    0.886524822695035    0.9477328
11285    0.886132033673017    0.9484118
11290    0.885739592559787    0.9490133
11295    0.885347498893316    0.9495496
11300    0.884955752212389    0.9500326
11305    0.884564352056612    0.9504734
11310    0.884173297966401    0.9508836
11315    0.883782589482987    0.9512734
11320    0.88339222614841    0.9516408
11325    0.883002207505519    0.9519728
11330    0.88261253309797    0.9522558
11335    0.882223202470225    0.9524761
11340    0.881834215167548    0.9526198
11345    0.881445570736007    0.9526722
11350    0.881057268722467    0.9526189
11355    0.880669308674593    0.9524443
11360    0.880281690140845    0.9521329
11365    0.87989441267048    0.9516684
11370    0.879507475813544    0.9510461
11375    0.879120879120879    0.9502844
11380    0.878734622144112    0.9494033
11385    0.878348704435661    0.948422
11390    0.877963125548727    0.9473596
11395    0.877577885037297    0.9462345
11400    0.87719298245614    0.9450653
11405    0.876808417360807    0.9438697
11410    0.876424189307625    0.9426657
11415    0.876040297853701    0.9414718
11420    0.875656742556918    0.9403028
11425    0.87527352297593    0.9391608
11430    0.874890638670166    0.9380429
11435    0.874508089199825    0.9369464
11440    0.874125874125874    0.9358686
11445    0.873743993010048    0.9348071
11450    0.873362445414847    0.9337592
11455    0.872981230903535    0.9327225
11460    0.87260034904014    0.9316949
11465    0.872219799389446    0.9306736
11470    0.871839581517001    0.929657
11475    0.871459694989107    0.9286482
11480    0.871080139372822    0.9276579
11485    0.87070091423596    0.9266969
11490    0.870322019147084    0.9257763
11495    0.869943453675511    0.9249073
11500    0.869565217391304    0.9241017
11505    0.869187309865276    0.9233707
11510    0.868809730668983    0.9227269
11515    0.868432479374729    0.9221827
11520    0.868055555555556    0.9217508
11525    0.86767895878525    0.9214422
11530    0.867302688638335    0.921252
11535    0.866926744690074    0.9211696
11540    0.866551126516464    0.9211848
11545    0.86617583369424    0.9212878
11550    0.865800865800866    0.9214694
11555    0.865426222414539    0.9217202
11560    0.865051903114187    0.9220319
11565    0.864677907479464    0.9223961
11570    0.864304235090752    0.9228043
11575    0.863930885529158    0.9232488
11580    0.863557858376511    0.9237239
11585    0.863185153215365    0.924229
11590    0.862812769628991    0.9247648
11595    0.86244070720138    0.9253314
11600    0.862068965517241    0.9259299
11605    0.861697544161999    0.9265607
11610    0.861326442721792    0.9272251
11615    0.86095566078347    0.9279242
11620    0.860585197934596    0.9286588
11625    0.860215053763441    0.929431
11630    0.859845227858985    0.9302418
11635    0.859475719810915    0.9310914
11640    0.859106529209622    0.9319789
11645    0.8587376556462        0.9329023
11650    0.858369098712446    0.9338604
11655    0.858000858000858    0.9348521
11660    0.857632933104631    0.9358764
