      Wavelegth (nm)      Normalized RSF
         7000.000000            0.008000
         7100.000000            0.260000
         7200.000000            0.617000
         7300.000000            0.820000
         7400.000000            0.914000
         7500.000000            0.943000
         7600.000000            0.937000
         7700.000000            0.997000
         7800.000000            1.000000
         7900.000000            0.925000
         8000.000000            0.884000
         8200.000000            0.813000
         8400.000000            0.789000
         8600.000000            0.779000
         8800.000000            0.748000
         9000.000000            0.735000
         9100.000000            0.685000
         9200.000000            0.653000
         9300.000000            0.632000
         9400.000000            0.612000
         9500.000000            0.601000
         9600.000000            0.594000
         9700.000000            0.582000
         9800.000000            0.542000
         9900.000000            0.471000
        10000.000000            0.348000
        10100.000000            0.218000
        10200.000000            0.120000
        10300.000000            0.062000
        10400.000000            0.030000
        10500.000000            0.013000
        10600.000000            0.005000
        10700.000000            0.003000
        10800.000000            0.001000
        10900.000000            0.001000
        11000.000000            0.001000
