      Wavelegth (um)      Normalized RSF
            0.620000            0.004000
            0.640000            0.003000
            0.660000            0.002000
            0.680000            0.002000
            0.690000            0.005000
            0.700000            0.054000
            0.710000            0.298000
            0.720000            0.635000
            0.730000            0.841000
            0.740000            0.926000
            0.750000            0.988000
            0.760000            1.000000
            0.770000            0.970000
            0.780000            0.930000
            0.790000            0.887000
            0.800000            0.847000
            0.810000            0.850000
            0.820000            0.857000
            0.830000            0.870000
            0.840000            0.859000
            0.850000            0.825000
            0.860000            0.798000
            0.870000            0.799000
            0.880000            0.777000
            0.890000            0.803000
            0.900000            0.821000
            0.910000            0.780000
            0.920000            0.767000
            0.930000            0.688000
            0.940000            0.638000
            0.950000            0.626000
            0.960000            0.660000
            0.970000            0.698000
            0.980000            0.622000
            0.990000            0.392000
            1.000000            0.192000
            1.010000            0.091000
            1.020000            0.045000
            1.040000            0.014000
            1.060000            0.005000
            1.080000            0.003000
            1.100000            0.002000
            1.120000            0.002000
            1.140000            0.002000
            1.160000            0.002000
