Wavenumber(cm^-1)    Wavelength (um)        Normalized SRF
6570    1.5220700152207        0.0003254
6575    1.52091254752852    0.0000000
6580    1.51975683890578    0.0001719
6585    1.51860288534548    0.0000149
6590    1.51745068285281    0.0000000
6595    1.51630022744503    0.0000000
6600    1.51515151515152    0.0000381
6605    1.51400454201363    0.0000000
6610    1.51285930408472    0.0000000
6615    1.51171579743008    0.0000000
6620    1.51057401812689    0.0000392
6625    1.50943396226415    0.0001137
6630    1.50829562594268    0.0000000
6635    1.50715900527506    0.0000000
6640    1.50602409638554    0.0000000
6645    1.50489089541008    0.0000244
6650    1.50375939849624    0.0000000
6655    1.50262960180316    0.0000000
6660    1.5015015015015        0.0000246
6665    1.50037509377344    0.000093
6670    1.49925037481259    0.0000000
6675    1.49812734082397    0.0000551
6680    1.49700598802395    0.0000000
6685    1.49588631264024    0.0003019
6690    1.49476831091181    0.0000000
6695    1.49365197908887    0.0000422
6700    1.49253731343284    0.0000095
6705    1.49142431021626    0.0000000
