      Wavelegth (um)      Normalized RSF
           11.000000            0.002000
           11.250000            0.002000
           11.300000            0.012000
           11.350000            0.061000
           11.400000            0.226000
           11.450000            0.528000
           11.500000            0.791000
           11.550000            0.886000
           11.600000            0.898000
           11.650000            0.951000
           11.700000            1.000000
           11.750000            0.983000
           11.800000            0.940000
           11.850000            0.896000
           11.900000            0.897000
           11.950000            0.892000
           12.000000            0.909000
           12.050000            0.868000
           12.100000            0.843000
           12.150000            0.795000
           12.200000            0.758000
           12.250000            0.713000
           12.300000            0.685000
           12.350000            0.660000
           12.400000            0.589000
           12.450000            0.351000
           12.500000            0.147000
           12.550000            0.049000
           12.600000            0.020000
           12.650000            0.011000
           12.700000            0.003000
           12.900000            0.003000
