      Wavelegth (um)      Normalized RSF
            3.450000            0.000000
            3.475000            0.011000
            3.500000            0.075000
            3.525000            0.337000
            3.550000            0.710000
            3.575000            0.852000
            3.600000            0.933000
            3.625000            0.966000
            3.650000            0.977000
            3.675000            0.980000
            3.700000            0.964000
            3.725000            0.972000
            3.750000            0.961000
            3.775000            0.955000
            3.800000            0.978000
            3.825000            1.000000
            3.850000            0.991000
            3.875000            0.995000
            3.900000            0.908000
            3.925000            0.653000
            3.950000            0.249000
            3.975000            0.053000
            4.000000            0.009000
            4.025000            0.000000
