      Wavelegth (nm)      Normalized RSF
          560.000000            0.074000
          570.000000            0.420000
          580.000000            0.698000
          590.000000            0.816000
          600.000000            0.858000
          610.000000            0.884000
          620.000000            0.919000
          630.000000            0.941000
          640.000000            0.970000
          650.000000            0.967000
          660.000000            0.961000
          670.000000            0.900000
          680.000000            1.000000
          690.000000            0.970000
          700.000000            0.640000
          710.000000            0.332000
          720.000000            0.127000
          730.000000            0.059000
          740.000000            0.047000
          750.000000            0.017000
          760.000000            0.015000
          770.000000            0.013000
          780.000000            0.009000
          790.000000            0.007000
          800.000000            0.006000
          810.000000            0.007000
          820.000000            0.007000
          830.000000            0.007000
          840.000000            0.008000
          850.000000            0.009000
          860.000000            0.011000
          870.000000            0.013000
          880.000000            0.016000
          890.000000            0.017000
          900.000000            0.018000
          910.000000            0.016000
          920.000000            0.014000
          930.000000            0.012000
          940.000000            0.009000
          950.000000            0.008000
          960.000000            0.007000
          980.000000            0.005000
         1000.000000            0.003000
         1020.000000            0.002000
         1040.000000            0.002000
         1060.000000            0.001000
         1080.000000            0.001000
         1100.000000            0.001000
