      Wavelegth (um)      Normalized RSF
           11.000000            0.014000
           11.100000            0.014000
           11.200000            0.014000
           11.300000            0.014000
           11.400000            0.045000
           11.500000            0.501000
           11.600000            0.936000
           11.700000            0.983000
           11.800000            0.998000
           11.900000            0.984000
           12.000000            1.000000
           12.100000            0.944000
           12.200000            0.854000
           12.300000            0.771000
           12.400000            0.707000
           12.500000            0.354000
           12.600000            0.036000
           12.700000            0.022000
