      Wavelegth (nm)      Normalized RSF
          680.000000            0.000000
          690.000000            0.009000
          700.000000            0.016000
          710.000000            0.169000
          720.000000            0.522000
          730.000000            0.825000
          740.000000            0.926000
          750.000000            0.967000
          760.000000            0.994000
          770.000000            0.992000
          780.000000            1.000000
          790.000000            0.954000
          800.000000            0.897000
          810.000000            0.851000
          820.000000            0.807000
          830.000000            0.800000
          840.000000            0.826000
          850.000000            0.825000
          860.000000            0.823000
          870.000000            0.823000
          880.000000            0.815000
          890.000000            0.814000
          900.000000            0.831000
          910.000000            0.854000
          920.000000            0.857000
          930.000000            0.833000
          940.000000            0.769000
          950.000000            0.728000
          960.000000            0.697000
          970.000000            0.692000
          980.000000            0.712000
          990.000000            0.678000
         1000.000000            0.514000
         1010.000000            0.282000
         1020.000000            0.137000
         1030.000000            0.065000
         1040.000000            0.029000
         1050.000000            0.013000
         1060.000000            0.006000
         1070.000000            0.002000
         1080.000000            0.001000
         1090.000000            0.001000
