      Wavelegth (um)      Normalized RSF
            0.690000            0.004400
            0.700000            0.069600
            0.710000            0.355900
            0.720000            0.687600
            0.730000            0.858600
            0.740000            0.936900
            0.750000            0.985900
            0.760000            1.000000
            0.770000            0.982500
            0.780000            0.932300
            0.790000            0.900300
            0.800000            0.887500
            0.810000            0.889900
            0.820000            0.902600
            0.830000            0.910800
            0.840000            0.913200
            0.850000            0.886300
            0.860000            0.863800
            0.870000            0.850400
            0.880000            0.861600
            0.890000            0.872900
            0.900000            0.881100
            0.910000            0.863200
            0.920000            0.811200
            0.930000            0.750000
            0.940000            0.719300
            0.950000            0.708400
            0.960000            0.742500
            0.970000            0.725100
            0.980000            0.552300
            0.990000            0.312000
            1.000000            0.152900
            1.010000            0.075900
            1.020000            0.041400
            1.030000            0.024000
            1.040000            0.015000
            1.050000            0.010700
            1.060000            0.007400
            1.070000            0.005700
            1.080000            0.004600
            1.090000            0.003900
            1.100000            0.003300
            1.110000            0.002900
            1.120000            0.002500
            1.130000            0.002400
            1.140000            0.002000
            1.150000            0.001700
            1.160000            0.001400
