      Wavelegth (nm)      Normalized RSF
          500.000000            0.007400
          520.000000            0.000000
          550.000000            0.004800
          560.000000            0.074900
          570.000000            0.428400
          580.000000            0.689600
          590.000000            0.785300
          600.000000            0.777300
          610.000000            0.777700
          620.000000            0.835600
          630.000000            0.919700
          640.000000            0.973900
          650.000000            0.948100
          660.000000            0.958800
          670.000000            1.000000
          680.000000            0.877000
          690.000000            0.479800
          700.000000            0.206700
          710.000000            0.092800
          720.000000            0.049600
          730.000000            0.021400
          740.000000            0.019000
          750.000000            0.010000
          760.000000            0.008000
          780.000000            0.010300
          800.000000            0.007600
          820.000000            0.012100
          840.000000            0.006800
          860.000000            0.011400
          880.000000            0.012000
          890.000000            0.018300
          900.000000            0.026500
          910.000000            0.038400
          920.000000            0.052200
          930.000000            0.049100
          940.000000            0.039600
          950.000000            0.020300
          960.000000            0.012500
          970.000000            0.009500
          980.000000            0.004800
          990.000000            0.002200
         1000.000000            0.002100
