 wavelength (um)       Norm. Spec. Resp. Func.
          0.430    -1.7752E-03
          0.432     4.1430E-04
          0.434     5.4010E-04
          0.436     9.7761E-04
          0.438     1.5693E-03
          0.440    -2.7435E-04
          0.442     1.8132E-04
          0.444     1.2236E-04
          0.446    -1.0967E-04
          0.448    -1.6673E-04
          0.450     9.3613E-04
          0.452    -4.5737E-04
          0.454    -7.5046E-04
          0.456     1.5849E-04
          0.458    -2.8975E-04
          0.460    -5.3013E-04
          0.462     1.6033E-04
          0.464     8.3926E-04
          0.466    -3.5209E-04
          0.468    -3.1637E-04
          0.470    -2.0286E-05
          0.472    -5.8082E-04
          0.474    -4.1472E-04
          0.476    -6.1837E-04
          0.478    -3.4748E-05
          0.480    -2.6939E-04
          0.482    -9.8026E-05
          0.484    -3.7004E-04
          0.486     1.6023E-04
          0.488    -4.5008E-05
          0.490     3.4596E-04
          0.492    -1.4321E-05
          0.494    -1.9033E-04
          0.496    -2.1633E-04
          0.498    -8.3572E-05
          0.500    -7.4140E-04
          0.502     1.7779E-04
          0.504    -5.7865E-05
          0.506     2.0061E-04
          0.508     1.0683E-04
          0.510    -8.7935E-05
          0.512     2.9314E-04
          0.514     6.6691E-05
          0.516    -4.0208E-04
          0.518    -1.3463E-04
          0.520    -1.5465E-04
          0.522     2.3075E-04
          0.524    -2.2152E-04
          0.526     7.7222E-05
          0.528     1.2260E-04
          0.530    -6.8851E-05
          0.532    -1.0540E-04
          0.534     1.7205E-04
          0.536     9.1686E-05
          0.538    -3.3455E-06
          0.540     1.8384E-05
          0.542     1.7800E-05
          0.544    -1.1433E-04
          0.546     1.1437E-04
          0.548     1.2188E-04
          0.550     7.2844E-05
          0.552     1.9594E-04
          0.554     1.2437E-04
          0.556     4.0280E-05
          0.558     2.7931E-04
          0.560     3.7698E-04
          0.562     1.7092E-04
          0.564     1.5103E-04
          0.566     6.8364E-04
          0.568     7.1111E-04
          0.570     6.8360E-04
          0.572     1.2893E-03
          0.574     2.2899E-03
          0.576     4.5353E-03
          0.578     9.5566E-03
          0.580     2.1374E-02
          0.582     5.0577E-02
          0.584     1.2645E-01
          0.586     2.9957E-01
          0.588     5.4051E-01
          0.590     6.7425E-01
          0.592     7.0775E-01
          0.594     7.2959E-01
          0.596     7.7210E-01
          0.598     8.2305E-01
          0.600     8.6336E-01
          0.602     8.8524E-01
          0.604     8.8983E-01
          0.606     8.9052E-01
          0.608     8.8927E-01
          0.610     9.0088E-01
          0.612     9.2705E-01
          0.614     9.5780E-01
          0.616     9.7262E-01
          0.618     9.7745E-01
          0.620     9.6629E-01
          0.622     9.5313E-01
          0.624     9.3917E-01
          0.626     9.3273E-01
          0.628     9.2795E-01
          0.630     9.3152E-01
          0.632     9.4192E-01
          0.634     9.5135E-01
          0.636     9.6599E-01
          0.638     9.7799E-01
          0.640     9.8556E-01
          0.642     9.9148E-01
          0.644     9.9590E-01
          0.646     1.0000E+00
          0.648     9.9500E-01
          0.650     9.8263E-01
          0.652     9.6566E-01
          0.654     9.4881E-01
          0.656     9.2397E-01
          0.658     8.9487E-01
          0.660     8.6347E-01
          0.662     8.4312E-01
          0.664     8.2649E-01
          0.666     8.1225E-01
          0.668     8.1085E-01
          0.670     8.2503E-01
          0.672     8.5326E-01
          0.674     8.7763E-01
          0.676     8.4489E-01
          0.678     6.9693E-01
          0.680     4.7764E-01
          0.682     2.8101E-01
          0.684     1.5722E-01
          0.686     8.7986E-02
          0.688     4.9685E-02
          0.690     2.8522E-02
          0.692     1.6783E-02
          0.694     1.0263E-02
          0.696     6.4090E-03
          0.698     4.0753E-03
          0.700     2.5714E-03
          0.702     1.7414E-03
          0.704     1.1169E-03
          0.706     7.5653E-04
          0.708     5.7489E-04
          0.710     4.0998E-04
          0.712    -4.5633E-05
          0.714    -3.9594E-05
          0.716     4.0613E-05
          0.718    -1.1296E-04
          0.720     1.1543E-04
          0.722    -4.4938E-05
          0.724     2.9560E-05
          0.726     1.0136E-04
          0.728    -5.8987E-05
          0.730    -6.3246E-05
          0.732    -3.5820E-05
          0.734     2.9548E-05
          0.736    -2.9416E-05
          0.738     6.1906E-05
          0.740    -7.2806E-05
          0.742     8.5465E-05
          0.744    -2.9270E-05
          0.746     3.0983E-05
          0.748     1.0449E-04
          0.750    -2.9635E-05
          0.752     4.4470E-05
          0.754    -7.5756E-06
          0.756     1.1899E-04
          0.758    -7.6462E-05
          0.760    -1.9516E-05
          0.762     2.3410E-05
          0.764    -1.1992E-05
          0.766     1.7399E-04
          0.768    -3.6545E-05
          0.770     7.5668E-05
          0.772    -9.8527E-05
          0.774     6.2719E-06
          0.776    -4.7305E-05
          0.778     1.2963E-05
          0.780    -5.9576E-05
          0.782    -4.2371E-05
          0.784     6.5092E-05
          0.786     1.3626E-04
          0.788    -4.1571E-05
          0.790     1.0966E-04
          0.792    -6.8805E-05
          0.794    -2.2791E-04
          0.796     7.0300E-05
          0.798    -3.9428E-05
          0.800    -5.0892E-06
          0.802     1.0029E-04
          0.804    -6.8911E-05
          0.806    -2.3224E-05
          0.808     6.9988E-05
          0.810     5.4831E-05
          0.812     1.9548E-04
          0.814     2.2132E-04
          0.816    -1.6107E-04
          0.818     8.3536E-05
          0.820     2.0313E-04
          0.822     1.8831E-04
          0.824    -7.6830E-05
          0.826    -1.9307E-05
          0.828     1.9066E-05
          0.830     5.1994E-05
