      Wavelegth (um)      Normalized RSF
            3.350000            0.013000
            3.375000            0.013000
            3.400000            0.013000
            3.425000            0.013000
            3.450000            0.013000
            3.475000            0.017000
            3.500000            0.034000
            3.525000            0.075000
            3.550000            0.244000
            3.575000            0.683000
            3.600000            0.950000
            3.625000            0.895000
            3.650000            0.898000
            3.675000            0.933000
            3.700000            0.942000
            3.725000            0.959000
            3.750000            0.966000
            3.775000            0.983000
            3.800000            0.979000
            3.825000            1.000000
            3.850000            0.976000
            3.875000            0.947000
            3.900000            0.926000
            3.925000            0.936000
            3.950000            0.845000
            3.975000            0.521000
            4.000000            0.224000
            4.025000            0.081000
            4.050000            0.030000
            4.075000            0.017000
            4.100000            0.013000
