      Wavelegth (nm)      Normalized RSF
          700.000000            0.076100
          710.000000            0.395400
          720.000000            0.775900
          730.000000            0.918600
          740.000000            0.977000
          750.000000            0.994600
          760.000000            1.000000
          770.000000            0.986100
          780.000000            0.960100
          790.000000            0.926800
          800.000000            0.887900
          820.000000            0.817500
          840.000000            0.789100
          860.000000            0.772900
          880.000000            0.758900
          900.000000            0.734400
          920.000000            0.684800
          940.000000            0.630900
          960.000000            0.595600
          980.000000            0.541200
         1000.000000            0.338800
         1010.000000            0.208100
         1020.000000            0.116200
         1030.000000            0.060600
         1040.000000            0.031000
         1050.000000            0.015300
         1060.000000            0.007700
         1080.000000            0.002800
         1100.000000            0.001400
