      Wavelegth (nm)      Normalized RSF
         5600.000000            0.071000
         5700.000000            0.449000
         5800.000000            0.739000
         5900.000000            0.813000
         6000.000000            0.806000
         6200.000000            0.919000
         6400.000000            1.000000
         6600.000000            0.997000
         6800.000000            0.698000
         6900.000000            0.325000
         7000.000000            0.132000
         7100.000000            0.055000
         7200.000000            0.027000
         7300.000000            0.013000
         7400.000000            0.007000
         8800.000000            0.005000
         9000.000000            0.017000
         9100.000000            0.035000
         9200.000000            0.048000
         9300.000000            0.038000
         9400.000000            0.018000
         9500.000000            0.006000
         9600.000000            0.002000
