     Wavelength (um)      Normalized RSF
            0.430000           -0.000900
            0.432000           -0.000500
            0.434000           -0.001300
            0.436000           -0.001000
            0.438000            0.001500
            0.440000            0.000000
            0.442000           -0.000700
            0.444000            0.000100
            0.446000            0.001200
            0.448000            0.001500
            0.450000            0.003000
            0.452000            0.000900
            0.454000           -0.000300
            0.456000            0.003200
            0.458000           -0.000900
            0.460000            0.000400
            0.462000            0.000500
            0.464000           -0.000300
            0.466000           -0.000100
            0.468000            0.000100
            0.470000            0.000300
            0.472000            0.004600
            0.474000           -0.000200
            0.476000           -0.000200
            0.478000           -0.000400
            0.480000           -0.000100
            0.482000           -0.000400
            0.484000            0.000100
            0.486000            0.000600
            0.488000           -0.000400
            0.490000            0.001000
            0.492000            0.000400
            0.494000            0.000700
            0.496000           -0.000300
            0.498000            0.000400
            0.500000            0.000200
            0.502000            0.000200
            0.504000           -0.000100
            0.506000            0.000400
            0.508000            0.000400
            0.510000            0.000100
            0.512000            0.000100
            0.514000            0.000000
            0.516000           -0.000300
            0.518000           -0.000200
            0.520000            0.000300
            0.522000           -0.000100
            0.524000            0.000200
            0.526000            0.000000
            0.528000            0.000100
            0.530000           -0.000100
            0.532000            0.000200
            0.534000           -0.000100
            0.536000           -0.000100
            0.538000           -0.000200
            0.540000           -0.000100
            0.542000            0.000200
            0.544000            0.000100
            0.546000            0.000000
            0.548000            0.000100
            0.550000           -0.000100
            0.552000            0.000100
            0.554000            0.000000
            0.556000            0.000200
            0.558000            0.000100
            0.560000            0.000000
            0.562000           -0.000100
            0.564000            0.000400
            0.566000            0.000000
            0.568000            0.000600
            0.570000            0.000800
            0.572000            0.000800
            0.574000            0.001800
            0.576000            0.003900
            0.578000            0.007400
            0.580000            0.017200
            0.582000            0.040300
            0.584000            0.100200
            0.586000            0.229000
            0.588000            0.409100
            0.590000            0.533500
            0.592000            0.590800
            0.594000            0.633900
            0.596000            0.684600
            0.598000            0.734100
            0.600000            0.777500
            0.602000            0.810500
            0.604000            0.832000
            0.606000            0.847200
            0.608000            0.860100
            0.610000            0.874300
            0.612000            0.894800
            0.614000            0.917100
            0.616000            0.929800
            0.618000            0.934300
            0.620000            0.934800
            0.622000            0.933700
            0.624000            0.934000
            0.626000            0.931300
            0.628000            0.935700
            0.630000            0.938100
            0.632000            0.939700
            0.634000            0.944400
            0.636000            0.946500
            0.638000            0.955900
            0.640000            0.965200
            0.642000            0.978200
            0.644000            0.992700
            0.646000            0.999900
            0.648000            1.000000
            0.650000            0.997000
            0.652000            0.981500
            0.654000            0.961800
            0.656000            0.936600
            0.658000            0.913600
            0.660000            0.886500
            0.662000            0.867600
            0.664000            0.851800
            0.666000            0.837600
            0.668000            0.831100
            0.670000            0.835100
            0.672000            0.851200
            0.674000            0.861600
            0.676000            0.831000
            0.678000            0.701600
            0.680000            0.510000
            0.682000            0.333200
            0.684000            0.206200
            0.686000            0.124900
            0.688000            0.073200
            0.690000            0.042000
            0.692000            0.024200
            0.694000            0.014000
            0.696000            0.008200
            0.698000            0.005000
            0.700000            0.002900
            0.702000            0.001900
            0.704000            0.001100
            0.706000            0.000600
            0.708000            0.000300
            0.710000            0.000200
            0.712000           -0.000100
            0.714000           -0.000100
            0.716000            0.000100
            0.718000           -0.000100
            0.720000            0.000100
            0.722000           -0.000200
            0.724000           -0.000200
            0.726000            0.000000
            0.728000            0.000200
            0.730000           -0.000200
            0.732000           -0.000100
            0.734000           -0.000200
            0.736000           -0.000100
            0.738000            0.000000
            0.740000            0.000100
            0.742000            0.000000
            0.744000            0.000000
            0.746000            0.000000
            0.748000           -0.000100
            0.750000            0.000000
            0.752000           -0.000100
            0.754000            0.000000
            0.756000           -0.000100
            0.758000            0.000000
            0.760000           -0.000200
            0.762000           -0.000200
            0.764000            0.000000
            0.766000           -0.000100
            0.768000           -0.000200
            0.770000            0.000400
            0.772000           -0.000100
            0.774000           -0.000100
            0.776000            0.000000
            0.778000           -0.000200
            0.780000           -0.000100
            0.782000           -0.000200
            0.784000            0.000100
            0.786000            0.000000
            0.788000            0.000000
            0.790000           -0.000300
            0.792000            0.000200
            0.794000            0.000000
            0.796000           -0.000200
            0.798000            0.000000
            0.800000           -0.000200
            0.802000           -0.000100
            0.804000           -0.000200
            0.806000           -0.000100
            0.808000           -0.000200
            0.810000           -0.000400
            0.812000           -0.000100
            0.814000           -0.000100
            0.816000           -0.000100
            0.818000           -0.000300
            0.820000           -0.000200
            0.822000            0.000000
            0.824000            0.000200
            0.826000           -0.000300
            0.828000            0.000000
            0.830000            0.000000
