      Wavelegth (nm)      Normalized RSF
         3441.000000            0.000000
         3466.000000            0.000000
         3491.000000            0.002400
         3516.000000            0.002400
         3541.000000            0.044600
         3566.000000            0.182300
         3591.000000            0.522800
         3616.000000            0.872300
         3641.000000            0.932500
         3666.000000            0.972400
         3691.000000            0.985800
         3716.000000            0.995400
         3741.000000            1.000000
         3766.000000            0.991500
         3791.000000            0.960300
         3816.000000            0.926600
         3841.000000            0.903400
         3866.000000            0.896000
         3891.000000            0.879000
         3916.000000            0.845300
         3941.000000            0.804700
         3966.000000            0.676500
         3991.000000            0.412800
         4016.000000            0.152800
         4041.000000            0.034300
         4066.000000            0.005700
         4091.000000            0.001900
         4116.000000            0.000000
