      Wavelegth (nm)      Normalized RSF
        10000.000000            0.000500
        10100.000000            0.001500
        10200.000000            0.001400
        10300.000000            0.010700
        10400.000000            0.084900
        10500.000000            0.416500
        10600.000000            0.875300
        10700.000000            1.000000
        10800.000000            0.918700
        10900.000000            0.961200
        11000.000000            0.868600
        11100.000000            0.824100
        11200.000000            0.769400
        11300.000000            0.684100
        11400.000000            0.570600
        11500.000000            0.275600
        11600.000000            0.078300
        11700.000000            0.014400
        11800.000000            0.011200
        11900.000000            0.000000
        12000.000000            0.000000
