     Wavelength (um)      Normalized RSF
            0.500000            0.000100
            0.504000            0.000300
            0.508000            0.000200
            0.512000            0.000200
            0.516000            0.000000
            0.520000            0.000000
            0.524000            0.000100
            0.528000           -0.000100
            0.532000            0.000000
            0.536000            0.000000
            0.540000            0.000000
            0.544000           -0.000100
            0.548000            0.000100
            0.552000            0.000100
            0.556000            0.000000
            0.560000            0.000000
            0.564000            0.000000
            0.568000            0.000000
            0.572000            0.000000
            0.576000            0.000000
            0.580000            0.000000
            0.584000            0.000000
            0.588000            0.000000
            0.592000           -0.000100
            0.596000           -0.000100
            0.600000           -0.000100
            0.604000            0.000000
            0.608000            0.000000
            0.612000            0.000000
            0.616000            0.000000
            0.620000           -0.000100
            0.624000           -0.000100
            0.628000            0.000100
            0.632000            0.000000
            0.636000            0.000000
            0.640000            0.000000
            0.644000            0.000000
            0.648000            0.000000
            0.652000            0.000000
            0.656000            0.000000
            0.660000            0.000000
            0.664000            0.000000
            0.668000            0.000000
            0.672000            0.000000
            0.676000            0.000000
            0.680000            0.000000
            0.684000            0.000200
            0.688000            0.000200
            0.692000            0.000900
            0.696000            0.003500
            0.700000            0.012000
            0.704000            0.033800
            0.708000            0.076600
            0.712000            0.144400
            0.716000            0.209900
            0.720000            0.273100
            0.724000            0.338000
            0.728000            0.407600
            0.732000            0.472600
            0.736000            0.540400
            0.740000            0.621100
            0.744000            0.710100
            0.748000            0.781700
            0.752000            0.835500
            0.756000            0.891300
            0.760000            0.922800
            0.764000            0.937000
            0.768000            0.935000
            0.772000            0.933000
            0.776000            0.946800
            0.780000            0.963100
            0.784000            0.981400
            0.788000            0.994100
            0.792000            0.997100
            0.796000            0.987500
            0.800000            0.977300
            0.804000            0.972000
            0.808000            0.977600
            0.812000            0.988500
            0.816000            0.997000
            0.820000            0.999300
            0.824000            1.000000
            0.828000            0.995200
            0.832000            0.992200
            0.836000            0.992300
            0.840000            0.992100
            0.844000            0.994600
            0.848000            0.991400
            0.852000            0.984400
            0.856000            0.976400
            0.860000            0.967600
            0.864000            0.952100
            0.868000            0.939200
            0.872000            0.932100
            0.876000            0.924600
            0.880000            0.923300
            0.884000            0.918400
            0.888000            0.916400
            0.892000            0.907500
            0.896000            0.895200
            0.900000            0.882200
            0.904000            0.875300
            0.908000            0.869800
            0.912000            0.871100
            0.916000            0.871000
            0.920000            0.871600
            0.924000            0.860200
            0.928000            0.844300
            0.932000            0.828700
            0.936000            0.819000
            0.940000            0.807200
            0.944000            0.790600
            0.948000            0.773000
            0.952000            0.754500
            0.956000            0.734800
            0.960000            0.715600
            0.964000            0.700300
            0.968000            0.689400
            0.972000            0.661500
            0.976000            0.617500
            0.980000            0.564300
            0.984000            0.526000
            0.988000            0.498500
            0.992000            0.414700
            0.996000            0.221800
            1.000000            0.082100
            1.004000            0.031200
            1.008000            0.014200
            1.012000            0.008000
            1.016000            0.005400
            1.020000            0.004200
            1.024000            0.003500
            1.028000            0.003100
            1.032000            0.002700
            1.036000            0.002400
            1.040000            0.002100
            1.044000            0.001800
            1.048000            0.001500
            1.052000            0.001300
            1.056000            0.001100
            1.060000            0.000900
            1.064000            0.000800
            1.068000            0.000600
            1.072000            0.000500
