      Wavelegth (nm)      Normalized RSF
        10100.000000            0.000600
        10200.000000            0.000600
        10300.000000            0.001800
        10400.000000            0.018000
        10500.000000            0.107500
        10600.000000            0.488400
        10700.000000            0.986000
        10800.000000            1.000000
        10900.000000            0.907000
        11000.000000            0.872500
        11100.000000            0.850000
        11200.000000            0.752700
        11300.000000            0.645000
        11400.000000            0.562200
        11500.000000            0.413500
        11600.000000            0.152000
        11700.000000            0.027000
        11800.000000            0.002000
