      Wavelegth (nm)      Normalized RSF
         3400.000000            0.000000
         3500.000000            0.002900
         3530.000000            0.051000
         3570.000000            0.390000
         3600.000000            0.768000
         3630.000000            0.832000
         3670.000000            0.936000
         3700.000000            1.000000
         3800.000000            1.000000
         3900.000000            0.937000
         3930.000000            0.902000
         3970.000000            0.473000
         4000.000000            0.155000
         4050.000000            0.000000
