      Wavelegth (um)      Normalized RSF
            0.700000            0.006000
            0.710000            0.114000
            0.720000            0.438000
            0.730000            0.767000
            0.740000            0.911000
            0.750000            0.974000
            0.760000            0.994000
            0.770000            1.000000
            0.780000            0.992000
            0.790000            0.960000
            0.800000            0.913000
            0.810000            0.874000
            0.820000            0.828000
            0.830000            0.824000
            0.840000            0.830000
            0.850000            0.832000
            0.860000            0.831000
            0.870000            0.823000
            0.880000            0.804000
            0.890000            0.819000
            0.900000            0.832000
            0.910000            0.849000
            0.920000            0.852000
            0.930000            0.824000
            0.940000            0.762000
            0.950000            0.724000
            0.960000            0.676000
            0.970000            0.671000
            0.980000            0.696000
            0.990000            0.686000
            1.000000            0.546000
            1.010000            0.318000
            1.020000            0.156000
            1.030000            0.072000
            1.040000            0.035000
            1.050000            0.017000
            1.060000            0.008000
            1.070000            0.005000
            1.080000            0.003000
            1.090000            0.002000
            1.100000            0.002000
            1.120000            0.001000
