      Wavelegth (um)      Normalized RSF
            3.350000            0.028000
            3.375000            0.028000
            3.400000            0.028000
            3.425000            0.028000
            3.450000            0.026000
            3.475000            0.026000
            3.500000            0.030000
            3.525000            0.055000
            3.550000            0.158000
            3.575000            0.296000
            3.600000            0.929000
            3.625000            0.974000
            3.650000            0.962000
            3.675000            0.966000
            3.700000            0.966000
            3.725000            0.976000
            3.750000            0.972000
            3.775000            0.974000
            3.800000            0.990000
            3.825000            1.000000
            3.850000            0.988000
            3.875000            0.959000
            3.900000            0.931000
            3.925000            0.947000
            3.950000            0.895000
            3.975000            0.551000
            4.000000            0.204000
            4.025000            0.065000
            4.050000            0.028000
            4.075000            0.022000
            4.100000            0.020000
