      Wavelegth (um)      Normalized RSF
            0.540000            0.000600
            0.550000            0.014200
            0.560000            0.206000
            0.570000            0.506100
            0.580000            0.681800
            0.590000            0.805500
            0.600000            0.815000
            0.610000            0.780000
            0.620000            0.812500
            0.630000            0.896300
            0.640000            0.911100
            0.650000            0.826500
            0.660000            0.809000
            0.670000            0.883700
            0.680000            1.000000
            0.690000            0.871300
            0.700000            0.471000
            0.710000            0.213900
            0.720000            0.097900
            0.730000            0.050700
            0.740000            0.029400
            0.750000            0.018200
            0.760000            0.013300
            0.770000            0.009800
            0.780000            0.007400
            0.790000            0.006300
            0.800000            0.006000
