      Wavelegth (um)      Normalized RSF
            3.400000            0.003000
            3.425000            0.008000
            3.450000            0.014000
            3.475000            0.034000
            3.500000            0.086000
            3.525000            0.364000
            3.550000            0.804000
            3.575000            0.932000
            3.600000            0.965000
            3.625000            0.969000
            3.650000            1.000000
            3.675000            0.995000
            3.700000            0.997000
            3.725000            0.974000
            3.750000            0.977000
            3.775000            0.926000
            3.800000            0.940000
            3.825000            0.972000
            3.850000            0.949000
            3.875000            0.926000
            3.900000            0.889000
            3.925000            0.729000
            3.950000            0.365000
            3.975000            0.107000
            4.000000            0.032000
            4.025000            0.014000
            4.050000            0.009000
            4.075000            0.002000
            4.100000            0.002000
