      Wavelegth (um)      Normalized RSF
            0.548000            0.000000
            0.552000            0.000100
            0.556000            0.000000
            0.560000            0.000000
            0.564000            0.000100
            0.568000            0.000000
            0.572000            0.000000
            0.576000            0.000000
            0.580000            0.000000
            0.584000            0.000000
            0.588000            0.000000
            0.592000            0.000000
            0.596000            0.000000
            0.600000            0.000000
            0.604000            0.000100
            0.608000            0.000000
            0.612000            0.000000
            0.616000            0.000100
            0.620000            0.000000
            0.624000            0.000000
            0.628000            0.000100
            0.632000            0.000100
            0.636000            0.000000
            0.640000            0.000000
            0.644000            0.000000
            0.648000            0.000000
            0.652000            0.000000
            0.656000            0.000100
            0.660000            0.000100
            0.664000            0.000000
            0.668000            0.000000
            0.672000            0.000100
            0.676000            0.000100
            0.680000            0.000200
            0.684000            0.000200
            0.688000            0.000700
            0.692000            0.001800
            0.696000            0.005500
            0.700000            0.015500
            0.704000            0.037500
            0.708000            0.037800
            0.712000            0.151500
            0.716000            0.222700
            0.720000            0.291500
            0.724000            0.354900
            0.728000            0.411200
            0.732000            0.492300
            0.736000            0.616200
            0.740000            0.746900
            0.744000            0.844900
            0.748000            0.880800
            0.752000            0.869800
            0.756000            0.856700
            0.760000            0.849600
            0.764000            0.857500
            0.768000            0.904400
            0.772000            0.958800
            0.776000            0.991500
            0.780000            1.000000
            0.784000            0.990000
            0.788000            0.984800
            0.792000            0.988100
            0.796000            0.977600
            0.800000            0.962600
            0.804000            0.954800
            0.808000            0.959000
            0.812000            0.969200
            0.816000            0.975400
            0.820000            0.978900
            0.824000            0.979500
            0.828000            0.978200
            0.832000            0.973900
            0.836000            0.971700
            0.840000            0.968800
            0.844000            0.965000
            0.848000            0.954100
            0.852000            0.941100
            0.856000            0.928200
            0.860000            0.915600
            0.864000            0.909900
            0.868000            0.908200
            0.872000            0.914700
            0.876000            0.924200
            0.880000            0.937300
            0.884000            0.942700
            0.888000            0.940000
            0.892000            0.927400
            0.896000            0.911000
            0.900000            0.897000
            0.904000            0.890900
            0.908000            0.896200
            0.912000            0.908200
            0.916000            0.921800
            0.920000            0.929500
            0.924000            0.924700
            0.928000            0.908000
            0.932000            0.887100
            0.936000            0.862300
            0.940000            0.841000
            0.944000            0.814600
            0.948000            0.798800
            0.952000            0.789400
            0.956000            0.785000
            0.960000            0.786300
            0.964000            0.783700
            0.968000            0.770800
            0.972000            0.744600
            0.976000            0.689800
            0.980000            0.587600
            0.984000            0.460400
            0.988000            0.344100
            0.992000            0.251400
            0.996000            0.179100
            1.000000            0.117900
            1.004000            0.069400
            1.008000            0.036000
            1.012000            0.017200
            1.016000            0.008100
            1.020000            0.003800
            1.024000            0.001800
            1.028000            0.000800
            1.032000            0.000400
            1.036000            0.000200
            1.040000            0.000100
            1.044000            0.000100
            1.048000            0.000000
            1.052000            0.000100
            1.056000            0.000100
            1.060000            0.000100
            1.064000            0.000100
            1.068000            0.000000
