      Wavelegth (nm)      Normalized RSF
          660.000000            0.000000
          680.000000            0.018000
          700.000000            0.033000
          710.000000            0.189000
          720.000000            0.530000
          730.000000            0.792000
          740.000000            0.922000
          750.000000            0.978000
          760.000000            1.000000
          770.000000            0.992000
          780.000000            0.965000
          790.000000            0.903000
          800.000000            0.841000
          810.000000            0.806000
          820.000000            0.788000
          830.000000            0.794000
          840.000000            0.796000
          850.000000            0.782000
          860.000000            0.765000
          870.000000            0.737000
          880.000000            0.729000
          890.000000            0.738000
          900.000000            0.749000
          910.000000            0.749000
          920.000000            0.729000
          930.000000            0.682000
          940.000000            0.624000
          950.000000            0.592000
          960.000000            0.586000
          970.000000            0.600000
          980.000000            0.575000
          900.000000            0.434000 * identified as typo, should be 990 nm wavelength @ 10/09/2008
         1000.000000            0.236000
         1010.000000            0.113000
         1020.000000            0.056000
         1030.000000            0.029000
         1040.000000            0.017000
         1050.000000            0.011000
         1060.000000            0.007000
         1070.000000            0.005000
         1080.000000            0.000000
         1090.000000            0.004000
         1100.000000            0.000000
